LocationID,AreaCode,LocationName,Latitude,Longitude
1,1,Wall_Street_New_York_City_NY,40.706,-74.0088
2,1,The_Bowery_New_York_City_NY,40.7206,-73.9939
3,1,Times_Square_New_York_City_NY,40.758,-73.9855
4,2,Hollywood_Boulevard_Los_Angeles_CA,34.1016,-118.34
5,2,Sunset_Strip_West_Hollywood_CA,34.09,-118.37
6,2,Echo_Park_Lake_Los_Angeles_CA,34.075,-118.26
7,3,Lombard_Street_San_Francisco_CA,37.8019,-122.4189
8,3,Golden_Gate_Park_San_Francisco_CA,37.7694,-122.4862
9,3,Fisherman's_Wharf_San_Francisco_CA,37.808,-122.417
10,4,500_Gallardost,34.0588,-118.222
11,4,Boyle_Heights_Los_Angeles_CA,34.035,-118.205
12,4,East_Los_Angeles_CA,34.02,-118.15
13,5,Overseas_Highway_Florida_Keys_FL,24.7836,-80.9033
14,5,Miami_Beach_Miami_FL,25.7907,-80.13
15,5,Key_West_FL,24.5551,-81.78
16,6,Hollywood_Boulevard_Los_Angeles_CA,34.1016,-118.34
17,6,Griffith_Observatory_Los_Angeles_CA,34.1184,-118.3004
18,6,Universal_Studios_Hollywood_Universal_City_CA,34.1381,-118.3534
19,7,Broadway_New_York_City_NY,40.7909,-73.9747
20,7,Central_Park_New_York_City_NY,40.785,-73.968
21,7,Lincoln_Center_New_York_City_NY,40.772,-73.983
22,8,Las_Vegas_Strip_Las_Vegas_NV,36.1147,-115.2015
23,8,Fremont_Street_Experience_Las_Vegas_NV,36.1717,-115.144
24,8,Red_Rock_Canyon_National_Conservation_Area_Las_Vegas_NV,36.1333,-115.4167
25,9,North_Lamar_Boulevard_Austin_TX,30.3451,-97.7144
26,9,Sixth_Street_Austin_TX,30.267,-97.741
27,9,Zilker_Park_Austin_TX,30.264,-97.773
28,10,Bullock_St,34.1797,-118.526
29,10,Topanga_State_Park_Los_Angeles_CA,34.1,-118.6
30,10,Calabasas_CA,34.14,-118.66
31,11,St_George_St,34.1053,-118.279
32,11,Pasadena_CA,34.1478,-118.1445
33,11,Glendale_CA,34.1851,-118.2435
34,12,77th_Street_and_Central_Ave_Los_Angeles_CA,33.975,-118.26
35,12,Watts_Los_Angeles_CA,33.95,-118.24
36,12,Florence-Firestone_Los_Angeles_CA,33.97,-118.24
37,13,Central_Ave_and_Vernon_Ave_Los_Angeles_CA,34,-118.25
38,13,South_Central_Los_Angeles_CA,33.98,-118.26
39,13,Slauson_Ave_and_Broadway_Los_Angeles_CA,33.98,-118.27
40,14,Venice_Beach_Los_Angeles_CA,33.985,-118.47
41,14,Santa_Monica_Pier_Santa_Monica_CA,34.008,-118.498
42,14,Marina_del_Rey_Los_Angeles_CA,33.975,-118.445
43,15,North_Hollywood_Los_Angeles_CA,34.185,-118.38
44,15,Studio_City_Los_Angeles_CA,34.14,-118.4
45,15,Valley_Village_Los_Angeles_CA,34.16,-118.39
46,16,San_Fernando_Valley_Los_Angeles_CA,34.28,-118.45
47,16,Sylmar_Los_Angeles_CA,34.3,-118.48
48,16,Pacoima_Los_Angeles_CA,34.28,-118.43
49,17,Devonshire_Downs_Northridge_CA,34.24,-118.56
50,17,Porter_Ranch_Los_Angeles_CA,34.28,-118.55
51,17,Chatsworth_Los_Angeles_CA,34.26,-118.6
52,18,Long_Beach_CA,33.8,-118.19
53,18,Compton_CA,33.89,-118.22
54,18,Lynwood_CA,33.93,-118.21
55,19,San_Fernando_Mission_Mission_Hills_CA,34.28,-118.48
56,19,Granada_Hills_Los_Angeles_CA,34.28,-118.52
57,19,Panorama_City_Los_Angeles_CA,34.22,-118.45
58,20,Bourbon_Street_New_Orleans_LA,29.959,-90.0653
59,20,French_Quarter_New_Orleans_LA,29.957,-90.063
60,20,Garden_District_New_Orleans_LA,29.927,-90.08
61,21,Route_66_(Various_Locations),35.2547,-101.6439
62,21,Santa_Monica_Mountains_Los_Angeles_CA,34.1,-118.4
63,21,Malibu_Pier_Malibu_CA,34.03,-118.67